Investor_ID,Gender,Age,Age_Group,Income_Bracket,Occupation,City_Type,Investment_Type,Investment_Source,Investment_Duration,Invest_Monitor,Risk_Profile,Investment_Mode,Risk_Tolerance_Score,Panic_Withdrawal,Invested_Amount,Current_Value,Investment_Start_Year,Market_Phase,Investment_Objective
INV0001,Male,62,Boomer,Low,Salaried,Metro,Equity,Newspaper,<1,Daily,High,SIP,9,No,80000,85469,2023,Volatile,Tax
INV0002,Female,56,Boomer,Low,Salaried,Non-Metro,Bonds,Consultant,1–3,Daily,Low,SIP,3,No,535000,614371,2016,Bull,Safety
INV0003,Female,60,Boomer,High,Self-Employed,Metro,MF,TV,>5,Monthly,Moderate,SIP,7,No,295000,327854,2020,Volatile,Wealth
INV0004,Female,36,Millennial,High,Self-Employed,Non-Metro,Equity,Internet,1–3,Daily,High,SIP,8,No,920000,1006857,2019,Volatile,Tax
INV0005,Male,32,Millennial,Low,Salaried,Non-Metro,Equity,Consultant,3–5,Daily,High,SIP,9,No,560000,457483,2015,Bear,Wealth
INV0006,Female,58,Boomer,Low,Salaried,Non-Metro,PPF,Newspaper,3–5,Weekly,Low,SIP,3,No,560000,564815,2021,Volatile,Safety
INV0007,Female,30,Millennial,Low,Salaried,Metro,Gold,Consultant,1–3,Monthly,Moderate,SIP,7,No,755000,728722,2023,Bear,Wealth
INV0008,Female,29,Millennial,High,Salaried,Metro,Bonds,Internet,1–3,Weekly,Low,Lump_Sum,1,Yes,430000,495575,2016,Volatile,Tax
INV0009,Male,34,Millennial,Medium,Salaried,Non-Metro,Bonds,Newspaper,<1,Monthly,Low,SIP,1,No,120000,146452,2019,Bull,Tax
INV0010,Male,27,Millennial,Medium,Self-Employed,Non-Metro,FD,Internet,>5,Daily,Low,Lump_Sum,3,Yes,320000,314313,2024,Bear,Safety
INV0011,Female,34,Millennial,Medium,Self-Employed,Metro,Equity,TV,1–3,Monthly,High,SIP,8,No,330000,297711,2018,Volatile,Tax
INV0012,Male,25,Gen Z,Low,Salaried,Metro,Gold,Internet,3–5,Monthly,Moderate,SIP,5,No,655000,637248,2024,Volatile,Wealth
INV0013,Male,48,Gen X,Low,Self-Employed,Metro,MF,Newspaper,3–5,Monthly,High,SIP,8,No,980000,818129,2015,Bear,Safety
INV0014,Male,37,Millennial,Low,Salaried,Metro,MF,Internet,>5,Monthly,Moderate,SIP,4,No,740000,851598,2015,Volatile,Safety
INV0015,Male,37,Millennial,Medium,Salaried,Non-Metro,PPF,Newspaper,1–3,Monthly,Low,SIP,3,No,940000,929969,2019,Bear,Safety
INV0016,Female,57,Boomer,Low,Salaried,Non-Metro,Equity,Newspaper,<1,Weekly,High,SIP,9,No,120000,189646,2023,Bull,Wealth
INV0017,Male,33,Millennial,Medium,Self-Employed,Metro,Equity,Internet,3–5,Weekly,High,SIP,10,No,715000,711361,2024,Volatile,Wealth
INV0018,Female,64,Boomer,Low,Salaried,Non-Metro,MF,Consultant,3–5,Monthly,Moderate,SIP,6,No,735000,886834,2016,Bull,Wealth
INV0019,Male,44,Gen X,High,Salaried,Metro,MF,TV,3–5,Monthly,High,Lump_Sum,10,No,895000,694427,2023,Bear,Safety
INV0020,Male,38,Millennial,High,Self-Employed,Metro,Gold,Internet,3–5,Monthly,Moderate,SIP,4,No,370000,361243,2023,Bear,Safety
INV0021,Female,27,Millennial,High,Salaried,Metro,MF,Internet,3–5,Weekly,Moderate,Lump_Sum,5,No,145000,228016,2015,Bull,Tax
INV0022,Male,31,Millennial,High,Salaried,Metro,Bonds,Internet,3–5,Monthly,Moderate,Lump_Sum,5,No,920000,1126783,2020,Bull,Wealth
INV0023,Female,57,Boomer,High,Self-Employed,Non-Metro,FD,Consultant,<1,Monthly,Low,Lump_Sum,3,Yes,990000,1131792,2021,Volatile,Wealth
INV0024,Female,28,Millennial,High,Self-Employed,Metro,Equity,TV,>5,Daily,High,Lump_Sum,8,No,470000,385235,2018,Bear,Wealth
INV0025,Female,39,Millennial,Medium,Salaried,Non-Metro,FD,Internet,1–3,Monthly,Low,Lump_Sum,1,No,810000,1066998,2015,Bull,Tax
INV0026,Female,42,Gen X,Medium,Salaried,Metro,MF,Internet,<1,Monthly,Moderate,Lump_Sum,5,No,970000,1146616,2023,Volatile,Tax
INV0027,Female,34,Millennial,Medium,Self-Employed,Non-Metro,Bonds,Consultant,3–5,Monthly,Low,Lump_Sum,2,Yes,210000,201085,2019,Volatile,Tax
INV0028,Male,46,Gen X,Medium,Salaried,Metro,Bonds,Consultant,3–5,Monthly,Moderate,SIP,5,No,615000,529232,2020,Bear,Wealth
INV0029,Male,52,Gen X,Medium,Salaried,Non-Metro,FD,TV,1–3,Daily,Low,Lump_Sum,2,Yes,830000,798820,2018,Bear,Wealth
INV0030,Male,48,Gen X,Medium,Salaried,Metro,FD,Internet,1–3,Monthly,Low,Lump_Sum,1,No,760000,930695,2022,Bull,Safety
INV0031,Male,51,Gen X,High,Self-Employed,Non-Metro,Equity,TV,3–5,Monthly,High,Lump_Sum,8,No,250000,233978,2023,Bear,Wealth
INV0032,Male,38,Millennial,High,Salaried,Non-Metro,Bonds,Internet,3–5,Daily,Moderate,SIP,4,No,740000,569906,2020,Bear,Wealth
INV0033,Male,46,Gen X,Medium,Salaried,Metro,MF,Newspaper,1–3,Monthly,Moderate,SIP,7,No,75000,86776,2024,Volatile,Safety
INV0034,Female,46,Gen X,Low,Salaried,Non-Metro,MF,Newspaper,3–5,Daily,High,SIP,9,No,605000,527203,2018,Bear,Wealth
INV0035,Female,64,Boomer,Medium,Self-Employed,Non-Metro,Equity,TV,3–5,Daily,High,SIP,9,No,640000,762153,2021,Bull,Wealth
INV0036,Male,42,Gen X,Medium,Salaried,Non-Metro,Bonds,TV,1–3,Monthly,Moderate,Lump_Sum,7,No,335000,305699,2015,Bear,Safety
INV0037,Male,63,Boomer,High,Self-Employed,Metro,FD,Consultant,3–5,Monthly,Low,SIP,3,Yes,260000,234383,2019,Bear,Safety
INV0038,Male,29,Millennial,High,Salaried,Metro,Bonds,Internet,1–3,Monthly,Moderate,Lump_Sum,7,No,940000,1397066,2018,Bull,Safety
INV0039,Male,60,Boomer,High,Salaried,Metro,MF,Newspaper,1–3,Monthly,Moderate,SIP,6,No,600000,948236,2022,Bull,Tax
INV0040,Male,51,Gen X,Medium,Self-Employed,Non-Metro,MF,TV,1–3,Weekly,High,SIP,10,No,460000,442947,2024,Bear,Safety
INV0041,Female,27,Millennial,High,Salaried,Metro,Bonds,Consultant,>5,Daily,Moderate,SIP,7,No,380000,317332,2018,Bear,Safety
INV0042,Male,39,Millennial,Medium,Salaried,Metro,MF,Internet,3–5,Weekly,High,Lump_Sum,9,No,425000,514589,2015,Bull,Tax
INV0043,Female,41,Gen X,Medium,Salaried,Metro,Gold,TV,1–3,Daily,Moderate,SIP,6,No,200000,187144,2018,Bear,Safety
INV0044,Male,33,Millennial,Low,Salaried,Non-Metro,Equity,Newspaper,>5,Weekly,High,Lump_Sum,9,No,435000,481577,2020,Bull,Tax
INV0045,Male,39,Millennial,High,Salaried,Non-Metro,Equity,Internet,1–3,Weekly,High,SIP,8,No,115000,141017,2020,Bull,Safety
INV0046,Male,29,Millennial,Medium,Salaried,Non-Metro,Bonds,Internet,<1,Daily,Low,Lump_Sum,3,Yes,810000,921150,2021,Volatile,Wealth
INV0047,Female,55,Gen X,Medium,Salaried,Non-Metro,Gold,Newspaper,3–5,Monthly,Moderate,Lump_Sum,5,No,320000,313406,2018,Volatile,Wealth
